City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,Amapa,1.0,-52.0,69.91,91,23,1.45,BR,2022-10-07 04:45:42
166,Vao,-22.6667,167.4833,71.11,67,81,23.98,NC,2022-10-07 04:45:42
167,Japura,-0.3167,102.35,73.8,98,100,3.15,ID,2022-10-07 04:45:42
168,Sinop,41.7711,34.8709,48.63,83,88,3.18,TR,2022-10-07 04:45:43
169,Santa Cruz,-17.8,-63.1667,67.46,94,100,5.75,BO,2022-10-07 04:45:03
170,Hithadhoo,-0.6,73.0833,80.62,78,92,16.58,MV,2022-10-07 04:45:44
171,Dikson,73.5069,80.5464,33.37,98,100,20.96,RU,2022-10-07 04:45:44
172,Naranjal,-2.6667,-79.6167,71.42,92,99,4.12,EC,2022-10-07 04:45:45
173,Port Blair,11.6667,92.75,82.44,78,75,5.75,IN,2022-10-07 04:45:45
174,Saint George,37.1041,-113.5841,77.25,32,0,6.91,US,2022-10-07 04:45:46
175,Rio Cuarto,-33.1307,-64.3499,58.48,51,0,4.61,AR,2022-10-07 04:45:46
176,Chokurdakh,70.6333,147.9167,21.13,85,100,20.71,RU,2022-10-07 04:45:47
177,Iquique,-20.2208,-70.1431,59.04,73,20,0.98,CL,2022-10-07 04:45:47
178,Sibu,2.3,111.8167,82.71,78,40,5.01,MY,2022-10-07 04:45:47
179,Pak Phanang,8.3511,100.202,82.42,76,100,8.32,TH,2022-10-07 04:45:48
180,Cooper City,26.0573,-80.2717,79.02,77,0,5.75,US,2022-10-07 04:45:48
181,Waddan,29.1614,16.139,64.81,80,0,2.59,LY,2022-10-07 04:45:49
182,Kinablangan,7.6947,126.5503,85.87,68,99,6.76,PH,2022-10-07 04:45:49
183,La Cruz,23.9167,-106.9,76.66,80,0,5.95,MX,2022-10-07 04:45:50
184,Ixtapa,20.7,-105.2,73.85,91,26,2.62,MX,2022-10-07 04:45:50
185,Comodoro Rivadavia,-45.8667,-67.5,46.26,46,0,12.66,AR,2022-10-07 04:45:51
